,ingredient,chemComp
87,berry,2-Furaldehyde|Perilla alcohol|2-Methylbutyraldehyde|Methyl Benzoate|2-Heptanone|2-Methyl-1-propanol|1-Octen-3-Ol|2-Pentylfuran|2-Phenylethanol|Hexanal|Geraniol|Octanal|1-octanol|gamma-Caprolactone|Nonanal|Myrcene|vanillin|Isoamyl Acetate|phenylacetaldehyde|Methyl Dodecanoate|Dodecanal|phenol|1-Hexanol|methyl salicylate|1-Heptanol|Hexanoic Acid|2-Methylbutanoic acid|dimethyl sulfide|D-Sorbitol|3-Methyl-1-butanol|Piperitol|3-Methyl-2-Buten-1-Ol|1-Nonanol|1-Penten-3-Ol|2-Heptanol|3-Methylbutanal|Linalool|3-Phenylpropan-1-ol|Linalyl Acetate
88,halibut,thiamine|Thiamine Hydrochloride|CID 644104|Heptanoic Acid
89,tortilla,thiamine|CID 644104|betaine|Heptanoic Acid
90,cotija,
91,quinoa,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
92,thyme,"Octan-2-ol|coumarin|Thymol|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|Chrysoeriol|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Genkwanin|(-)-Borneol|Thymol methyl ether|methanethiol|daidzein|benzaldehyde|benzyl alcohol|Bornyl formate|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|3-Carene|phloretin|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|salicylic acid|Tetradecanoic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Nerolidol|Isoeugenol|(+)-alpha-Terpineol|betaine|Eucalyptol|Phenethyl acetate|Phenylacetic Acid|gamma-Eudesmol|cis-3-Hexenal|cinnamaldehyde|trans-2-Hexenal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|Undecanoic Acid|1-Octen-3-Ol|2-Phenylethanol|Ocimene|Terpinen-4-ol|(+)-Neomenthol|succinic acid|NSC5112|Rose oxide|Nonanal|3-Thujene|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|Methyl 2-methylbutyrate|Pinocarveol|D-Camphor|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Sabinene hydrate|Propionaldehyde|D-Fenchone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|Isoborneol|5-Hexen-1-ol|indole|Tributyrin|calcium lactate|Farnesyl acetate|2,3-butanedione|3-Nonanone|isoliquiritigenin|Cinnamic Acid|Farnesal|Myrtenyl acetate|Bornyl Acetate|Neryl acetate|3,4-Dihydroxybenzaldehyde|Isorhamnetin|naringin|nerol|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|3-Octanol|Hexyl Butyrate|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|Dipentene|Beta-Terpineol|Isovaleric Acid|Borneol|CID 644104|Taxifolin|D-mannitol|Gamma-Terpinene|indole-3-acetic acid|Carvone|Linalyl Acetate|1-Pyrroline|Menthone|cis-Cinnamic acid|Geranyl Acetate|cis-3-Hexenyl acetate|Hexyl 2-methylbutanoate|Alpha-Phellandrene|Dihydrocarvone|Allyl Alcohol|Beta-Phellandrene|Alpha-Terpinene|cis-3-Hexenyl propionate|l-Menthol|naringenin|Isobutyraldehyde|P-Cymene|1-Dodecanol|6-Methyl-5-Hepten-2-One|1-Octen-3-yl acetate|Isobornyl acetate|quercetin|3-(Methylthio)propionaldehyde|3-Octanone|Octanal|Naphthalene, 1,2,4a,5,8,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-|2-(4-methylphenyl)propan-2-ol|hydrogen cyanide|Benzyl Benzoate|Geranyl butyrate|trans-3-Hexen-1-ol|trans-Anethole|Ethyl Acetate|4-Hexen-3-One|3,7-Dimethyl-1-octanol|Neral|3-Methyl-2-butenal|3-Pentanone|STK020088|(+)-Pulegone|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|Valencene|4-isopropylbenzaldehyde|Geranyl isobutyrate|4-isopropylbenzyl alcohol|p-coumaric acid|Linalool|Nonanoic Acid|Carvacrol|gamma-Terpineol"
93,chickpea,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|(-)-Epigallocatechin|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|Cianidanol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|3,7,4'-Trihydroxyflavone|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|Isorhamnetin|p-coumaric acid|3-Methylbutanal|farnesol"
94,waffle,thiamine|CID 644104|Heptanoic Acid
95,crookneck,
96,fillets,
97,mozzarella,"Isoamyl butyrate|Octan-2-ol|Isopentyl hexanoate|Styrene|2-Methylbutyraldehyde|3-methylthiopropanol|2-Methyl-1-propanol|formic acid|Ethyl Formate|Isobutyric Acid|Ethyl 3-methylpentanoate|Methyl Acetate|2-Nonanone|Pyrazine|4-Methylpentanoic Acid|Ethyl 2-methylbutyrate|Tiglic aldehyde|1-Phenylethanol|methanethiol|Octan-2-one|1-Hexanol|1-Heptanol|Isovaleric Acid|1-Nonanol|2-Heptanol|trimethylamine|Ethyl caproate|gamma-Decalactone|2,6-Dimethylpyrazine|Ethyl Butyrate|Hexanal|1-octanol|gamma-Caprolactone|Heptanoic Acid|salicylic acid|isopropanol|Furfuryl Alcohol|Tetradecanoic acid|Dimethyl disulfide|Methyl Dodecanoate|3-Hydroxy-2-Pentanone|phenol|Methyl octanoate|Hexanoic Acid|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Ethyl Heptanoate|Decanal|Phenethyl acetate|S-Methyl 3-methylbutanethioate|Isopentyl octanoate|Isobutyraldehyde|Isoamylamine|Ethyl dodecanoate|Butylamine|2-Methylpentanoic acid|8-Nonen-2-one|Methyl tetradecanoate|1-Dodecanol|Pentanal|Ethyl methyl disulfide|4-Methyl-2-pentanone|2,5-Dimethylpyrazine|Undecanoic Acid|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|2,6-Dimethylpyridine|Octanal|2,3-Dimethylpyrazine|Nonanal|2-Ethylhexan-1-ol|Butyl isobutyrate|Dimethyl trisulfide|phenylacetaldehyde|Methyl 2-methylbutyrate|1-Decanol|2-Nonanol|lauric acid|4-Hydroxybenzoic Acid|octanoic acid|oleic acid|3-Methyl-1-butanol|3-Methyl-2-Buten-1-Ol|S-Methyl propanethioate|Hexyl acetate|S-Methyl thiobutyrate|Benzothiazole|Decanoic acid|L-arginine|Benzyl Acetate|3-Methylindole|2-Undecanone|1-propanol|lactic acid|Isoborneol|Butyl Isovalerate|indole|Methyl Hexanoate|Myrcene|Ethyl pentanoate|Isoamyl Acetate|2,3-butanedione|2-Butanone|Dodecanal|9-Decenoic acid|4-Methyl-2-oxovaleric acid|Ethyl Propionate|4-hydroxybenzaldehyde|delta-Octanolactone|2,3,5-Trithiahexane|2-Methylbutanoic acid|3-Methyl-1-Pentanol|Linalool|Nonanoic Acid|propionic acid|S-Methyl 2-methylbutanethioate|Methyl Linoleate|3-Methylbutanal"
98,pesto,
99,lamb,"2-Methylhexanoic Acid|4-Ethyloctanoic acid|4-Methyloctanoic acid|stearic acid|4-Methyl-2-pentanone|trans,trans-2,4-Heptadienal|(2E,4E)-deca-2,4-dienal|trans-2-Octenal|palmitic acid|taurine|2,3,5,6-Tetramethylpyrazine|Tetradecanoic acid|Dl-Phenylalanine|L-aspartic acid|L-phenylalanine|3-Methylvaleric acid|L-histidine|2-Pentylpyridine|delta-Tetradecalactone|lauric acid|Undecanal|2-Acetylpyridine|octanoic acid|gamma-Nonanolactone|(2E,4E)-Octa-2,4-dienal|3-Methyl-1-Pentanol|2-Methylheptanoic Acid|trans,trans-2,4-Nonadienal|Isovaleric Acid|2-Pentadecanone|tridec-2-enal|Octane-2,3-dione|2,4,5-Trimethylthiazole|(Z)-4-Hydroxy-6-dodecenoic acid lactone|2-Methylpentanoic acid|2-Decenoic acid|3-Isobutylpyridine"
100,oregano,"coumarin|(+)-isodihydrocarvone|Thymol|Methyl Benzoate|Vanillic acid|AC1L9CNW|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|Thymol methyl ether|methanethiol|daidzein|benzaldehyde|benzyl alcohol|AC1NST8Q|alpha-L-Sorbopyranose|DL-Liquiritigenin|6,10,14-Trimethylpentadecan-2-one|alpha-TERPINEOL|3-Carene|alpha-Bisabolene|phloretin|Valencen|Sabinene|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|Linalool A oxide|Heptanoic Acid|salicylic acid|Aromadendrene|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene|Isoeugenol|Beta-Ionone|(+)-alpha-Terpineol|betaine|Eucalyptol|Piperitol|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|trans-2-Hexenal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|Decane|Perillen|1-Octen-3-Ol|2-Phenylethanol|Ocimene|Terpinen-4-ol|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|3-Thujene|4-tert-Butylphenol|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|alpha-Muurolene|D-Camphor|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Spathulenol|Sabinene hydrate|Propionaldehyde|beta-Cubebene|Hexyl acetate|(1Z,4Z)-germacrene B|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|Isoborneol|indole|Tributyrin|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|Bornyl Acetate|(E)-.beta.-Farnesene|Neryl acetate|3,4-Dihydroxybenzaldehyde|Alpha-Selinene|Piperitenone|Isorhamnetin|naringin|l-.alpha.-Cadinol|nerol|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Citral|Undecane|Carvacryl methyl ether|3-Octanol|CHEBI:49249|Gamma-undecalactone|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|alpha-Farnesene|kaempferol|Beta-Elemene|Dipentene|Borneol|CID 644104|Taxifolin|D-mannitol|3-Phenylpropanal|Gamma-Terpinene|indole-3-acetic acid|Carvone|(Z)-Beta-Ocimene|Linalyl Acetate|1-Pyrroline|Menthone|cis-Cinnamic acid|Elemol|4-Acetyl-1,4-dimethyl-1-cyclohexene|Geranyl Acetate|cis-3-Hexenyl acetate|CID 21159022|Alpha-Phellandrene|.beta.-Sesquiphellandrene|.beta.-Bourbonene|Dihydrocarvone|Allyl Alcohol|Beta-Phellandrene|Alpha-Terpinene|naringenin|Isobutyraldehyde|Estragole|Alpha-Terpinyl Acetate|P-Cymene|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|3-Octanone|Octanal|beta-Eudesmol|2-Methoxystyrene|Naphthalene, 1,2,4a,5,8,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-|2-(4-methylphenyl)propan-2-ol|hydrogen cyanide|Benzyl Benzoate|alpha-Thujone|Heneicosane|Nonane|trans-3-Hexen-1-ol|trans-Anethole|CHEBI:88903|Ethyl Acetate|4-Hexen-3-One|Neral|1-Terpineol|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|(+)-Pulegone|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|beta-cis-farnesene|(+)-gamma-cadinene|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid|Linalool|Nonanoic Acid|Carvacrol"
101,pongal,
102,pine nut,
103,fish,"2-Furaldehyde|(2E,4E)-deca-2,4-dienal|1-Octen-3-One|3,5-Octadien-2-one|2-Heptanone|Violet leaf aldehyde|formic acid|trans-2-Octenal|1-Octen-3-Ol|2-Pentylfuran|Hexanal|3-Octanone|Octanal|1-octanol|Isobutyric Acid|taurine|Heptanoic Acid|3-Octanol|Nonanal|2,4-Hexadienal|Tetradecanoic acid|Dimethyl disulfide|4-Methylpentanoic Acid|phenol|1-Phenylethanethiol|methanethiol|2-Undecenal|lauric acid|Undecanal|Hexanoic Acid|Pyrrolidine|octanoic acid|2-Methyl-2-Pentenal|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Isovaleric Acid|3-Methyl-1-butanol|1-Penten-3-Ol|Octane-2,3-dione|3-Octen-2-One|2-Pentanone|Butylamine|trimethylamine|trans-2-Hexenal|cis-6-Nonenal|L-lysine|Dl-Methionine"
104,ceasar salad,
105,lime,"Guaiene|Borneol|6-Methyl-5-Hepten-2-One|1,4-Cineole|Beta-Caryophyllene|3-Carene|Linalyl formate|Ocimene quintoxide|Terpinolene|Myrtenol|1-Terpineol|Perillaldehyde|d-Piperitone|Linaloyl oxide|3-Hexanone|2,6-Dimethyl-5-heptenal"
106,kulfi,
107,fennel,"coumarin|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|4-Methoxyphenylacetone|Phlorizin|Terpinolene|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|3-Carene|Citronellol|phloretin|DL-Tartaric acid|Sabinene|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|Heptanoic Acid|Dillapiole|salicylic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Isoeugenol|(+)-alpha-Terpineol|betaine|Fenchone|Eucalyptol|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Phenylethanol|Terpinen-4-ol|Ocimene|(+)-Neomenthol|succinic acid|NSC5112|3-Thujene|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|methoxsalen|4-Methoxybenzoic Acid|D-Camphor|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|D-Fenchone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|2,3-butanedione|Citronellal|Myristicin|isoliquiritigenin|Cinnamic Acid|Farnesal|cis-Anethole|Fenchyl acetate|3,4-Dihydroxybenzaldehyde|Isorhamnetin|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Citral|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|Dipentene|CID 644104|Taxifolin|D-mannitol|Gamma-Terpinene|indole-3-acetic acid|Isoquercitrin|Carvone|(Z)-Beta-Ocimene|1-Pyrroline|Menthone|cis-Cinnamic acid|Geranyl Acetate|cis-3-Hexenyl acetate|acetaldehyde|Alpha-Phellandrene|Allyl Alcohol|Apiole|Beta-Phellandrene|Alpha-Terpinene|(+)-alpha-phellandrene|l-Menthol|naringenin|Isobutyraldehyde|Estragole|P-Cymene|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|trans-Anethole|4-Methoxybenzaldehyde|Ethyl Acetate|4-Hexen-3-One|Neral|(-)-Limonene|3-Methyl-2-butenal|3-Pentanone|D-Limonene|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|Fenchol|luteolin|p-coumaric acid|Linalool"
108,capsicum,"coumarin|Methyl Benzoate|Tetradecane|Vanillic acid|AC1L9CNW|1-Methylnaphthalene|3-Hexanone|Geraniol|alpha-Maltose|Nonivamide|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|4-Methylpentanoic Acid|(-)-Epigallocatechin|methanethiol|daidzein|Pyridine|benzaldehyde|2-Hexanone|benzyl alcohol|3-Hepten-2-One|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|3-Carene|Heptadecane|toluene|phloretin|Sabinene|Beta-Caryophyllene|Mesityl Oxide|resveratrol|Hexanal|Linamarin|2-Methyl-1-Butanol|2-Methyl-2-Pentanol|2,3,5,6-Tetramethylpyrazine|3-Hexanol|salicylic acid|Heptanoic Acid|vanillin|(Z)-cinnamyl alcohol|naphthalene|Beta-Pinene|cinnamyl alcohol|2,3,5-Trimethylpyrazine|Ethyl Vinyl Ketone|hydrogen peroxide|2-Pentylpyridine|Methyl octanoate|Beta-Ionone|Isoeugenol|(+)-alpha-Terpineol|betaine|Phenethyl acetate|Pulegone|Eucalyptol|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Ethyl tetradecanoate|4'-Methylacetophenone|2-Hexanol|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|o-cresol|(-)-Epicatechin gallate|2-Heptanone|2-Phenylethanol|Terpinen-4-ol|cis-3-Hexenyl isovalerate|(+)-Neomenthol|succinic acid|NSC5112|2,3-Dimethylpyrazine|3-Thujene|acetoin|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|80-71-7|octanoic acid|D-Camphor|5-Methylfurfural|Methyl Heptanoate|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-(4-Hydroxyphenyl)ethanol|Nerylacetone|Acrolein|(+)-delta-Cadinene|2-Nonen-4-one|indole|Tributyrin|octane|calcium lactate|Dl-Phenylalanine|2,3-butanedione|Methyl Phenylacetate|isoliquiritigenin|3-Methyl-2-Cyclopenten-1-One|2-Methoxy-4-Methylphenol|Cinnamic Acid|Farnesal|Valeric acid|2-Methylbutanoic acid|Capsaicin|Biphenyl|3,4-Dihydroxybenzaldehyde|Isorhamnetin|3-Methylbutanal|farnesol|Daidzin|Styrene|2-Methylbutyraldehyde|(2E,4E)-deca-2,4-dienal|3-methylthiopropanol|Citral|Ethyl Octanoate|cis-3-Hexenyl pentanoate|Violet leaf aldehyde|2-Ethyl-5-Methylpyrazine|Nonadecane|Isobutyric Acid|2-Ethylfuran|3-Methyl-3-Pentanol|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|1,3-Butanediol|1-Hexanol|Octan-2-one|Dl-Alanine|Maltol|Dipentene|Isovaleric Acid|Hexyl isovalerate|Ethyl Isovalerate|CID 644104|Taxifolin|Propylamine|D-mannitol|l-ascorbic acid|Gamma-Terpinene|indole-3-acetic acid|2-Isobutyl-3-Methoxypyrazine|Carvone|(Z)-Beta-Ocimene|Dl-Methionine|1-Pyrroline|Menthone|cis-Cinnamic acid|Geranyl Acetate|DL-Valine|cis-3-Hexenyl acetate|Amylamine|Alpha-Phellandrene|Allyl Alcohol|Cianidanol|Pyrrolidine|(Z)-Hex-3-en-1-ol|P-Cresol|naringenin|Isobutyraldehyde|4-Ethyl-2-methoxyphenol|2-Methyl-2-Butanol|2-heptanethiol|P-Cymene|2-Isopropyl-3-Methoxypyrazine|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|hydrogen cyanide|Benzyl Benzoate|2-isopropyl-6-methoxypyrazine|24168-70-5|alpha-Thujone|methyl salicylate|Heneicosane|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|Gallocatechin|Cyclohexanone|2-Acetylfuran|2-Undecanone|3-Methyl-2-butenal|1,1-Diethoxy-3-Methylbutane|3-Pentanone|gamma-Butyrolactone|Pentadecane|2-Pentylfuran|Methyl Hexanoate|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|Hexadecane|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|5-Ethyl-2,3-dimethylpyrazine|p-coumaric acid|Linalool|Piperidine|Nonanoic Acid"
109,sugarcane,
110,mangosteen,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|Hexyl acetate|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
